Country Name,Country Code,Indicator Name,2003,2004.0,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,ALB,CO2 emissions (metric tons per capita),1352,1417,1351,1353,1421,1415,1476,1572,1735,1579,1655,1807,1760,1714,1949,1940,1688,1576
Afghanistan,AFG,CO2 emissions (metric tons per capita),57,46,64,73,87,158,211,297,407,335,264,234,232,209,203,200,319,312
Algeria,DZA,CO2 emissions (metric tons per capita),2599,2597,2684,2787,2942,2994,3192,3145,3222,3388,3406,3566,3674,3535,3506,3592,3871,3535
Angola,AGO,CO2 emissions (metric tons per capita),994,1028,937,1009,1124,1156,1206,1222,1216,1205,1262,1285,1261,1228,1034,887,738,675
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),5170,4978,5033,5319,5474,5621,16024,5566,5714,7964,5136,5186,5237,5290,5240,5505,5008,4395
Argentina,ARG,CO2 emissions (metric tons per capita),3370,3685,3762,3954,4123,4195,3889,4122,4296,4278,4360,4216,4314,4228,4089,3987,3742,3473
Armenia,ARM,CO2 emissions (metric tons per capita),1160,1253,1496,1518,1773,1957,1562,1508,1717,1983,1898,1882,1825,1727,1807,1880,1869,1988
Australia,AUS,CO2 emissions (metric tons per capita),17692,18148,18118,18121,18503,18283,18207,17581,17268,16969,16399,15756,15786,15872,15739,15476,16447,15368
Austria,AUT,CO2 emissions (metric tons per capita),9168,9168,9168,9168,9168,9168,9168,9168,9168,9168,9168,9168,9168,9168,9168,9168,7589,6732
Azerbaijan,AZE,CO2 emissions (metric tons per capita),4170,4104,4367,4027,3206,3375,2810,2667,3113,3309,3333,3422,3334,3347,3244,3221,3854,3720
"Bahamas, The",BHS,CO2 emissions (metric tons per capita),7186,6773,6218,6102,6135,6139,17220,5860,6730,10012,8470,7069,6334,5795,5632,5860,6773,5945
Bahrain,BHR,CO2 emissions (metric tons per capita),23064,21606,23280,23476,22212,22222,20868,20937,20365,20439,21870,22619,22306,21181,20334,19593,20985,20546
Bangladesh,BGD,CO2 emissions (metric tons per capita),212,223,235,255,266,288,307,343,365,384,397,413,459,467,493,513,578,564
Barbados,BRB,CO2 emissions (metric tons per capita),5030,4940,5139,5298,5310,6358,16435,5636,5901,7790,5206,4529,4521,4584,4192,4361,4234,3782
Belarus,BLR,CO2 emissions (metric tons per capita),5364,5732,5844,6123,5998,6326,6017,6477,6159,6317,6331,6277,5784,5811,5921,6254,6456,6079
Belgium,BEL,CO2 emissions (metric tons per capita),11131,10941,10556,10301,9843,9984,9232,9772,8658,8550,8657,8043,8444,8324,8155,8180,8644,7226
Belize,BLZ,CO2 emissions (metric tons per capita),1893,1591,1656,1751,1772,1630,4640,1737,1938,2041,1446,1387,1829,1764,1730,1775,1687,1466
